Incident_ID,Timestamp,Target_Department,Sender_Domain,Phishing_Type,Employee_Action
INC-2026-10000,2026-01-14 21:17,Finance,hr-benefits-portal.org,Malware Delivery,Ignored
INC-2026-10001,2026-02-10 8:41,Sales,hr-benefits-portal.org,Malware Delivery,Reported to IT
INC-2026-10002,2026-01-20 5:32,Sales,secure-bank-login.net,BEC/Whaling,Reported to IT
INC-2026-10003,2026-03-05 14:10,Finance,micros0ft-security.com,Urgent Invoice,Deleted
INC-2026-10004,2026-03-07 23:30,Finance,invoice-processing.co,BEC/Whaling,Ignored
INC-2026-10005,2026-03-24 7:25,Finance,secure-bank-login.net,Urgent Invoice,Ignored
INC-2026-10006,2026-03-13 3:24,Finance,invoice-processing.co,Malware Delivery,Ignored
INC-2026-10007,2026-03-13 12:17,IT,secure-bank-login.net,BEC/Whaling,Ignored
INC-2026-10008,2026-03-27 10:34,Finance,secure-bank-login.net,Malware Delivery,Ignored
INC-2026-10009,2026-01-30 9:27,Finance,micros0ft-security.com,Malware Delivery,Deleted
INC-2026-10010,2026-01-14 10:11,Finance,secure-bank-login.net,Urgent Invoice,Deleted
INC-2026-10011,2026-02-07 18:09,IT,invoice-processing.co,Credential Harvesting,Deleted
INC-2026-10012,2026-02-12 6:04,Finance,micros0ft-security.com,BEC/Whaling,Clicked Link
INC-2026-10013,2026-03-04 13:27,HR,micros0ft-security.com,Malware Delivery,Reported to IT
INC-2026-10014,2026-01-13 1:48,Finance,hr-benefits-portal.org,Urgent Invoice,Ignored
INC-2026-10015,2026-01-11 16:34,IT,invoice-processing.co,BEC/Whaling,Deleted
INC-2026-10016,2026-02-04 6:53,IT,secure-bank-login.net,Urgent Invoice,Deleted
INC-2026-10017,2026-02-03 16:37,Executive,hr-benefits-portal.org,BEC/Whaling,Clicked Link
INC-2026-10018,2026-03-18 1:30,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10019,2026-02-14 21:52,Finance,secure-bank-login.net,Urgent Invoice,Reported to IT
INC-2026-10020,2026-03-12 8:59,Finance,secure-bank-login.net,Malware Delivery,Ignored
INC-2026-10021,2026-02-11 15:38,Executive,invoice-processing.co,BEC/Whaling,Ignored
INC-2026-10022,2026-03-14 14:06,Finance,invoice-processing.co,Urgent Invoice,Ignored
INC-2026-10023,2026-01-24 19:30,Operations,secure-bank-login.net,Malware Delivery,Deleted
INC-2026-10024,2026-03-10 14:25,HR,hr-benefits-portal.org,Malware Delivery,Deleted
INC-2026-10025,2026-03-17 16:33,IT,micros0ft-security.com,Urgent Invoice,Ignored
INC-2026-10026,2026-03-19 19:12,HR,invoice-processing.co,Malware Delivery,Ignored
INC-2026-10027,2026-02-16 4:55,Finance,invoice-processing.co,Urgent Invoice,Deleted
INC-2026-10028,2026-01-09 1:55,Operations,secure-bank-login.net,BEC/Whaling,Downloaded Attachment
INC-2026-10029,2026-03-05 5:34,Sales,hr-benefits-portal.org,Urgent Invoice,Clicked Link
